                |     [1]     [2]     [3]     [4]     [5]     [6]     [7]     [8]
grid_io_bottom_8__0_ |       1       1       1       1       1       1       1       1
grid_io_bottom_7__0_ |       1       1       1       1       1       1       1       1
grid_io_bottom_6__0_ |       1       1       1       1       1       1       1       1
grid_io_bottom_5__0_ |       1       1       1       1       1       1       1       1
grid_io_bottom_4__0_ |       1       1       1       1       1       1       1       1
grid_io_bottom_3__0_ |       1       1       0       1       1       1       1       1
grid_io_bottom_2__0_ |       1       1       1       1       1       1       1       1
grid_io_bottom_1__0_ |       1       1       1       1       1       1       1       1
