                |     [1]     [2]     [3]     [4]     [5]     [6]     [7]     [8]
grid_io_right_9__8_ |       0       0       0       0       0       0       0       0
grid_io_right_9__7_ |       0       0       0       0       0       0       0       0
grid_io_right_9__6_ |       0       0       0       0       0       0       0       0
grid_io_right_9__5_ |       0       0       0       0       0       0       0       0
grid_io_right_9__4_ |       0       0       0       0       0       0       0       0
grid_io_right_9__3_ |       0       0       0       0       0       0       0       0
grid_io_right_9__2_ |       0       0       0       0       0       0       0       0
grid_io_right_9__1_ |       0       0       0       0       0       0       0       0
